Bildname,Prompt,Negativprompt
eaa066beac2ec0d2d9117b78a9138b07 Kopie.jpg,"massive ocean wave crashing against a coastal lighthouse, dark storm clouds, dramatic light, realistic water simulation, SDXL, high detail photorealism","blurry, low resolution, oversaturated, artificial lighting, cartoonish, fantasy look"
ee416319df4dbb9e42ebe58fd8c785e8.jpg,"looking up inside Antelope Canyon, sculpted sandstone formations glowing in sunlight, rich textures, photorealistic geological structure, SDXL, ultra sharp","blurry, low resolution, oversaturated, artificial lighting, cartoonish, fantasy look"
eea0dbd91c04dbebe5fb10bc451fa3cc.jpg,"black volcanic coastline with turquoise waves crashing against rocks, foamy textures, aerial view, sharp contrast, ultra detailed SDXL realism","blurry, low resolution, oversaturated, artificial lighting, cartoonish, fantasy look"
ef7cc91d15a05ac501c726dc82572d65.jpg,"vivid blue river winding through red sandstone canyon, crystal clear water with visible submerged stones, strong sunlight and shadow play, ultra realistic","blurry, low resolution, oversaturated, artificial lighting, cartoonish, fantasy look"
Eiscave Kopie.jpg,"interior of glowing blue ice cave, jagged frozen ceiling and rocky floor, ethereal atmosphere, sharp light diffusion, SDXL, high detail texture","blurry, low resolution, oversaturated, artificial lighting, cartoonish, fantasy look"
f6aa0107535cec16f5a3c15e953db8f0 Kopie.jpg,"black cliff waterfall under moonlight, smooth white water, dark rock face, serene and mystical nighttime landscape, high realism, SDXL","blurry, low resolution, oversaturated, artificial lighting, cartoonish, fantasy look"
f9b5d4c132b1105177c66f2fcebd2cf5.jpg,"turquoise crystal-clear water in a dramatic sea cave, rippling reflections on the rocky walls, natural daylight entering through the cave opening, ultra-realistic, high-resolution, photorealism, natural lighting, organic detail, SDXL","blurry, oversaturated, unrealistic reflections, CGI look, unnatural textures, low detail"
f54f5176c85fe94cc1eeb07085ee8ca9 Kopie.jpg,"aerial view of ancient Egypt with the Sphinx under excavation, pyramid in the background, desert setting, lots of miniature human activity, realistic historical reconstruction, highly detailed, SDXL, natural desert light, photorealism","cartoon style, low resolution, exaggerated features, noisy textures, artificial shadows"
f319b1d5309aa9a5c6d0000375cebd34 Kopie.jpg,"full moon with circular lunar halo, silhouetted trees by a riverbank, starry night sky, surreal atmospheric optics, double rainbow ring effect, extremely detailed, photorealistic, SDXL","lens flare, overexposure, cartoonish look, noise, unrealistic lighting"
f48646ed9ae5e5e8d0a24b09799f098d Kopie.jpg,"vibrant sunset over red rock formations, natural sandstone archway framing the glowing sun, dramatic clouds and sky colors, photorealism, high detail, warm and cool light contrast, SDXL","low quality, saturated colors, artificial details, fantasy elements, lens distortions"
ffbc30d3de0c33c19cd8910cb6b3218b.jpg,"northern lights over snow-covered pine forest, night sky filled with stars, quiet winter road leading into the horizon, deep blue tones, SDXL, photorealism, natural light, high-resolution","grainy, underexposed, fantasy lighting, CGI sky, surreal elements, low resolution"
HDR_041_Path_Bg Kopie.jpg,"360° panorama of a lush green forest path, summer daylight, realistic vegetation, multiple trail options, earthy ground textures, photorealistic natural environment, SDXL","CGI environment, blurry vegetation, fake lighting, pixelation, cartoon effect"
HOTEL_LUXURY_BYNIGHT Kopie.jpg,"luxury resort pool at night, reflections on the water, palm trees and ambient lighting, elegant architecture, tropical night scene, high-resolution, SDXL, photorealism","overprocessed, unrealistic pool lighting, plastic look, blurry reflections, fantasy style"
image-2 Kopie.jpg,"aerial drone shot of a red desert canyon, wide landscape view, erosion patterns, dry riverbeds, clear sky, SDXL, photorealistic, ultra-detailed terrain, organic lighting","CGI terrain, fantasy colors, blurry rock detail, artificial canyon, surreal sky"
image-3 Kopie.jpg,"thin waterfalls emerging from moss-covered cliff, soft water streaks, lush green vegetation above the falls, natural environment, photorealism, SDXL, high-resolution detail","low detail, CGI water, fantasy vegetation, overexposed highlights, artificial moss"
image-4 Kopie.jpg,"horizontal waterfall over mossy overhang, soft cascading water, forest surroundings, detailed textures, high-resolution, photorealistic natural lighting, SDXL","CGI moss, fake water flow, unrealistic background, cartoon texture, lens blur"
Kauai_Hawaii.jpg Kopie.jpg,"aerial view of Kauai coastline, lush green mountains, tropical beach, turquoise ocean, clear skies, photorealistic, high resolution, natural lighting, organic scenery","low quality, cartoonish, distorted, overexposed, unnatural colors, people, buildings"
"Kuh, Gras.jpeg","extreme close-up of a cow eating grass, green pasture background, vivid textures, sharp focus on nose and tongue, photorealistic, high resolution, natural lighting","blurry, low resolution, painting style, artificial colors, deformed animal, background clutter"
Kyoto_Japan Kopie.jpg,"Daigoji temple in Kyoto during autumn, colorful maple trees, traditional Japanese garden, red bridge over calm pond, photorealistic, vibrant colors, natural ambiance, high resolution","washed-out colors, artificial lighting, blurry, low detail, fantasy elements"
Meer_Sonne.jpg,"ocean waves at sunset, close-up water surface, golden sun low on horizon, soft focus in distance, photorealistic lighting, high resolution, tranquil mood","harsh lighting, overexposed, stylized, surreal, pixelated"
meeresleuchten_jervis-bay.jpg,"bioluminescent sea shore at night, glowing blue water, wet sand reflecting city lights, natural nightscape, photorealistic, high detail, long exposure effect","fake glow, fantasy colors, noisy, underexposed, unnatural composition"
nature_mountain_forest_landscape_fog_field_grass.jpg,"rolling green hills, soft morning light, textured grass fields, misty atmosphere, photorealistic, natural gradients, high resolution landscape","saturated colors, unrealistic terrain, fantasy environment, low resolution"
nature_mountain_galaxy_night_landscape_fog_stars.jpg,"mountain silhouette under starry night sky, distant galaxy band, foggy valleys, horizon glow, high resolution, photorealistic, natural night colors","blurry stars, fantasy sky, cartoonish effects, pixelation, excessive contrast"
Sonnenblumenfeld Kopie.jpg,"sunflower field at sunset, glowing horizon, scattered clouds in colorful sky, thousands of vibrant sunflowers, organic layout, photorealistic, warm tones, high resolution","unrealistic flowers, low detail, oversaturation, artificial scene, cluttered background"
StefanForster_Iceland_Aerial85.jpg,"aerial view of volcanic mountains and lake in Iceland, rich moss textures, reflective water, dramatic geology, high resolution, natural lighting, photorealistic landscape","low quality, digital artifacts, surreal colors, fantasy terrain, people"
TOLL_GRANDCANYON_WEITE.jpg,"sunset over the Grand Canyon, vast red rock formations, soft clouds, panoramic view, natural lighting, high detail and texture, photorealistic","cartoonish rocks, stylized colors, pixelation, unrealistic lighting"
Ubud_Bali.jpg,"Ultra-high-resolution photo of lush terraced rice fields surrounded by tropical jungle and tall palm trees in Ubud, Bali, under clear blue sky, vibrant greens, natural lighting, realistic textures, cinematic angle, 50mm lens","blurry, lowres, overexposed, cartoon, painting, artificial colors, distorted perspective, surreal, unrealistic details"
